provider_id,shift_id,shift_start,Hours_Awake,Decisions_Made,Decisions_per_hour,Task_Switches,Task_Switches_per_hour,Avg_Decision_Time_sec,Error_Rate,Error_Rate_per_hour,Cognitive_Load_Score,Time_of_Day,fatigue_probability,risk_tier,total_dc_orders,total_changes,n_orders
P039XB,P039XB_2115-09-29_7,2115-09-29 07:24:35,9.87,18,1.82,9,0.91,576.0,0.5556,1.013,8.85,7,0.5823344758395118,Moderate,3,7,18
P039XB,P039XB_2115-09-30_7,2115-09-30 09:38:27,8.88,19,2.14,13,1.46,577.0,0.2632,0.5628,7.55,9,0.10787193911212314,Low,1,4,19
P039XB,P039XB_2176-11-19_19,2176-11-19 21:37:11,2.87,18,6.27,5,1.74,1233.0,0.1667,1.0452,5.96,21,0.12262267914728255,Low,2,1,18
P03SBN,P03SBN_2147-12-30_19,2147-12-30 19:00:54,9.98,17,1.7,10,1.0,877.0,0.4118,0.7016,8.35,19,0.5981685823211715,Moderate,0,6,17
P03Z09,P03Z09_2114-03-19_19,2114-03-19 19:54:28,2.79,25,8.95,20,7.16,77.0,0.0,0.0,8.53,19,0.39502545131249356,Moderate,0,0,25
P03ZYI,P03ZYI_2148-03-10_7,2148-03-10 12:20:23,3.66,21,5.73,13,3.55,576.0,0.0,0.0,8.54,12,0.3829388115565547,Moderate,0,0,21
P03ZYI,P03ZYI_2148-03-15_7,2148-03-15 08:04:33,9.52,35,3.68,20,2.1,652.0,0.2286,0.8402,7.28,8,0.3919155218601088,Moderate,1,2,35
P041F4,P041F4_2142-09-03_7,2142-09-03 16:00:11,0.1,15,60.0,5,30.0,300.0,0.0667,10.0,6.18,16,0.9110653352487676,High,0,1,15
P04A5E,P04A5E_2154-01-04_7,2154-01-04 10:20:48,6.3,33,5.24,21,3.33,1794.5,0.0909,0.4761,7.5,10,0.11830363723632567,Low,1,2,33
P04IUK,P04IUK_2115-09-27_19,2115-09-27 21:18:47,8.19,36,4.4,25,3.05,821.5,0.1667,0.7326,7.72,21,0.3983081964089235,Moderate,1,2,36
P04MEO,P04MEO_2146-10-09_19,2146-10-09 21:37:31,0.52,30,57.2,19,30.0,1888.0,0.1667,9.5339,6.47,21,0.9121344326451072,High,0,1,30
P04QHZ,P04QHZ_2129-04-06_19,2129-04-06 19:01:26,11.82,32,2.71,17,1.44,984.0,0.2188,0.5924,8.53,19,0.7650378665951859,High,6,1,32
P04QHZ,P04QHZ_2129-04-06_7,2129-04-06 08:45:00,9.48,24,2.53,13,1.37,2748.0,0.25,0.6327,8.27,8,0.39026969932433053,Moderate,2,4,24
P04ZCO,P04ZCO_2142-08-02_7,2142-08-02 12:32:29,0.3,17,57.3,10,30.0,83.5,0.6471,10.0,8.08,12,0.9844901787584734,High,8,3,17
P050U2,P050U2_2181-10-13_7,2181-10-13 10:19:18,0.93,33,35.46,13,13.97,315.0,0.2727,9.6716,6.89,10,0.9162113594157458,High,4,5,33
P055L7,P055L7_2110-12-04_7,2110-12-04 09:00:16,2.26,16,7.09,7,3.1,809.0,0.625,4.4313,6.45,9,0.37502235043088494,Moderate,4,6,16
P05JHZ,P05JHZ_2135-01-21_7,2135-01-21 07:04:55,9.39,24,2.56,17,1.81,887.0,0.375,0.9588,8.9,7,0.38639719646586856,Moderate,3,6,24
P05KZU,P05KZU_2117-10-25_19,2117-10-26 00:41:18,5.7,23,4.04,16,2.81,699.0,0.1304,0.5265,7.59,0,0.38489018208651365,Moderate,1,2,23
P05KZU,P05KZU_2120-01-30_19,2120-01-30 23:01:10,0.1,18,60.0,13,30.0,300.0,0.0,0.0,8.72,23,0.9035096986749269,High,0,0,18
P05PXC,P05PXC_2147-09-12_7,2147-09-12 07:43:29,10.1,18,1.78,7,0.69,1808.0,0.2778,0.495,7.74,7,0.5879846180968703,Moderate,1,3,18
P063OH,P063OH_2131-03-08_7,2131-03-08 18:53:27,0.1,32,60.0,14,30.0,300.0,0.0938,10.0,5.22,18,0.9248478902697044,High,0,0,32
P06LO9,P06LO9_2148-07-07_7,2148-07-07 15:59:32,1.21,58,48.1,26,21.56,1006.5,0.2931,10.0,5.14,15,0.833981282751697,High,4,1,58
P06LO9,P06LO9_2155-07-10_19,2155-07-10 19:34:51,1.41,24,17.04,11,7.81,545.0,0.0417,0.7099,7.47,19,0.3992766921753564,Moderate,1,0,24
P06QB9,P06QB9_2119-10-27_7,2119-10-27 18:39:21,0.1,20,60.0,11,30.0,300.0,0.3,10.0,7.2,18,0.9647702870554156,High,0,1,20
P07JV9,P07JV9_2131-05-31_7,2131-05-31 18:01:26,0.1,27,60.0,18,30.0,300.0,0.2222,10.0,7.43,18,0.9782501344717158,High,0,0,27
P07TNI,P07TNI_2115-11-09_7,2115-11-09 07:18:41,11.48,25,2.18,15,1.31,1133.0,0.16,0.3485,8.21,7,0.7471859062855678,High,1,2,25
P07TNI,P07TNI_2115-11-10_7,2115-11-10 08:45:18,10.16,20,1.97,9,0.89,326.0,0.4,0.7871,6.28,8,0.7330195837196841,High,1,6,20
P07TNI,P07TNI_2115-11-11_7,2115-11-11 08:22:56,5.34,15,2.81,8,1.5,220.0,0.4,1.1234,8.03,8,0.39670617442737016,Moderate,2,3,15
P07TNI,P07TNI_2115-11-12_7,2115-11-12 07:08:21,10.15,16,1.58,10,0.99,142.0,0.375,0.5911,7.65,7,0.7515882946870246,High,4,2,16
P07TNI,P07TNI_2115-11-19_7,2115-11-19 09:10:11,9.61,21,2.18,8,0.83,426.0,0.1429,0.3121,6.08,9,0.11262950054655116,Low,2,0,21
P07TNI,P07TNI_2131-05-24_7,2131-05-24 09:51:20,8.46,22,2.6,10,1.18,1042.5,0.2727,0.7095,6.75,9,0.11149323334238986,Low,0,3,22
P07VDQ,P07VDQ_2148-09-11_7,2148-09-11 07:23:55,11.38,24,2.11,8,0.7,3142.0,0.375,0.7909,6.06,7,0.39817366744201316,Moderate,9,0,24
P08HVS,P08HVS_2201-12-11_7,2201-12-11 13:31:06,0.87,22,25.33,12,13.82,3127.0,0.0,0.0,6.69,13,0.38768086538062546,Moderate,0,0,22
P08JEC,P08JEC_2112-10-05_7,2112-10-05 11:13:17,7.37,16,2.17,7,0.95,590.0,0.25,0.543,7.64,11,0.10335988803565632,Low,1,3,16
P08JEC,P08JEC_2174-05-28_7,2174-05-28 09:49:11,7.93,15,1.89,8,1.01,665.0,0.4,0.7568,8.31,9,0.10478387912900072,Low,1,5,15
P08QDG,P08QDG_2142-03-26_7,2142-03-26 08:29:38,10.27,45,4.38,23,2.24,526.0,0.1778,0.7792,6.65,8,0.581541517749121,Moderate,2,4,45
P08SCQ,P08SCQ_2148-03-11_7,2148-03-11 12:01:39,3.04,18,5.92,12,3.95,1351.0,0.1111,0.6583,8.05,12,0.39456551606997925,Moderate,0,0,18
P09NGT,P09NGT_2115-12-30_7,2115-12-30 16:57:05,1.08,21,19.42,17,15.72,3893.0,0.0476,0.9247,8.42,16,0.39101816599014727,Moderate,0,1,21
P1028D,P1028D_2161-04-28_7,2161-04-28 09:08:26,7.68,30,3.91,23,2.99,3116.0,0.0667,0.2604,7.31,9,0.12302160480971322,Low,1,1,30
P102WP,P102WP_2150-03-11_19,2150-03-11 19:06:47,3.52,19,5.4,9,2.56,764.0,0.4737,2.5592,6.86,19,0.38532138216607625,Moderate,8,1,19
P102WP,P102WP_2150-03-11_7,2150-03-11 15:54:35,0.81,45,55.23,32,30.0,1063.0,0.0,0.0,7.71,15,0.7687173766061985,High,0,0,45
P102WP,P102WP_2177-07-14_19,2177-07-14 22:33:31,5.79,55,9.5,22,3.8,253.0,0.0909,0.8636,6.8,22,0.39584981256911494,Moderate,0,5,55
P102WP,P102WP_2177-12-21_19,2177-12-21 22:56:59,3.16,34,10.76,12,3.8,593.5,0.0588,0.6329,5.09,22,0.11302328587183315,Low,1,1,34
P107SH,P107SH_2175-03-20_19,2175-03-20 23:38:36,2.85,35,12.26,16,5.6,353.0,0.0857,1.0509,7.18,23,0.3941616610050157,Moderate,1,2,35
P10BPY,P10BPY_2120-01-31_7,2120-01-31 18:33:46,0.1,20,60.0,13,30.0,300.0,0.1,10.0,7.42,18,0.974979725360907,High,0,1,20
P10BPY,P10BPY_2137-08-10_7,2137-08-10 17:19:21,0.26,34,60.0,15,30.0,98.0,0.2059,10.0,6.51,17,0.9062679386917096,High,6,1,34
P10BPY,P10BPY_2137-08-11_7,2137-08-11 11:55:01,1.4,36,25.68,21,14.98,5047.0,0.1944,4.9931,6.37,11,0.7715633317199152,High,2,2,36
P10RLD,P10RLD_2125-09-30_19,2125-09-30 20:28:50,8.53,30,3.52,14,1.64,793.5,0.0,0.0,6.91,20,0.3776355121735512,Moderate,0,0,30
P115BW,P115BW_2171-11-07_19,2171-11-08 00:12:05,0.29,23,60.0,8,27.43,245.0,0.0435,3.4286,6.85,0,0.8030930750616629,High,0,1,23
P11ASV,P11ASV_2137-10-17_19,2137-10-17 22:12:48,0.1,41,60.0,25,30.0,300.0,0.1707,10.0,6.21,22,0.9052044537553331,High,0,0,41
P11AU2,P11AU2_2148-07-17_19,2148-07-18 05:05:27,1.72,49,28.51,20,11.64,994.0,0.1224,3.4912,5.43,5,0.6752518447405764,High,3,0,49
P11AU2,P11AU2_2177-03-25_7,2177-03-25 09:29:48,6.75,23,3.41,19,2.82,587.5,0.2174,0.741,9.14,9,0.12092421785809462,Low,1,2,23
P11AU2,P11AU2_2177-03-27_7,2177-03-27 11:00:26,0.58,16,27.44,6,10.29,1049.5,0.125,3.4302,7.46,11,0.7341607432323807,High,1,1,16
P11DAQ,P11DAQ_2153-03-31_7,2153-03-31 17:29:04,0.65,47,60.0,18,27.55,138.0,0.0638,4.5918,5.54,17,0.8416792318003877,High,3,0,47
P11TUA,P11TUA_2137-02-24_7,2137-02-24 14:48:21,2.3,25,10.86,16,6.95,103.0,0.08,0.8684,8.26,14,0.38860905378434735,Moderate,1,1,25
P11XN8,P11XN8_2137-02-26_7,2137-02-26 08:26:01,10.09,29,2.87,17,1.69,1334.0,0.3793,1.0904,8.6,8,0.6436096564734671,Moderate,8,3,29
P11XN8,P11XN8_2137-08-20_7,2137-08-20 12:33:32,6.04,23,3.81,5,0.83,1558.0,0.7826,2.9825,5.76,12,0.3887967265203776,Moderate,18,0,23
P122CQ,P122CQ_2155-10-18_7,2155-10-18 07:22:07,8.95,23,2.57,14,1.56,616.0,0.3913,1.0057,8.15,7,0.3727205642898613,Moderate,1,7,23
P122CQ,P122CQ_2155-10-24_7,2155-10-24 07:58:18,9.87,16,1.62,9,0.91,1514.0,0.375,0.6081,7.74,7,0.5762649158849062,Moderate,1,2,16
P12SBU,P12SBU_2141-05-22_19,2141-05-22 20:22:49,6.98,40,5.73,20,2.86,1024.0,0.025,0.1432,6.96,20,0.10288975514549151,Low,0,1,40
P12SBU,P12SBU_2167-05-03_19,2167-05-04 01:49:31,0.65,17,26.1,10,15.35,136.0,0.1176,3.0704,8.08,1,0.6905351459371831,High,1,0,17
P12U03,P12U03_2148-07-01_19,2148-07-01 21:51:19,0.1,41,60.0,19,30.0,300.0,0.0488,10.0,4.95,21,0.9138962194245948,High,0,0,41
P12U03,P12U03_2155-07-11_7,2155-07-11 10:14:49,7.35,22,2.99,13,1.77,134.5,0.2727,0.8163,8.16,10,0.380539118075841,Moderate,2,3,22
P12Z9W,P12Z9W_2140-10-05_7,2140-10-05 18:21:26,0.1,19,60.0,9,30.0,300.0,0.0526,10.0,6.71,18,0.9061168516169665,High,0,0,19
P134EW,P134EW_2148-07-07_19,2148-07-07 19:10:37,7.05,21,2.98,16,2.27,351.0,0.4762,1.4179,8.17,19,0.40258619160730225,Moderate,5,4,21
P13B4S,P13B4S_2192-07-31_19,2192-07-31 20:33:57,0.86,30,34.74,12,13.9,124.0,0.2667,9.2634,5.94,20,0.9063358374467462,High,3,3,30
P13VI8,P13VI8_2125-03-24_7,2125-03-24 17:58:14,0.71,37,52.3,24,30.0,1273.5,0.0,0.0,6.4,17,0.6951924145679196,High,0,0,37
P13VI8,P13VI8_2196-06-14_7,2196-06-14 14:25:58,0.1,21,60.0,14,30.0,300.0,0.0952,10.0,8.06,14,0.9005623003572616,High,0,0,21
P13W32,P13W32_2175-03-22_7,2175-03-22 08:35:14,5.51,28,5.08,16,2.9,536.5,0.2857,1.4509,7.79,8,0.3875395330507653,Moderate,4,2,28
P146T2,P146T2_2147-11-25_19,2147-11-26 02:01:01,3.91,51,13.03,14,3.58,402.5,0.1176,1.533,4.6,2,0.10661653071992971,Low,2,2,51
P14F76,P14F76_2196-04-14_7,2196-04-14 08:07:29,5.64,25,4.43,13,2.31,863.0,0.0,0.0,7.49,8,0.38620357787043597,Moderate,0,0,25
P14RPI,P14RPI_2174-05-26_7,2174-05-26 09:22:09,2.64,23,8.7,13,4.92,219.0,0.2174,1.8908,7.95,9,0.1245198326436095,Low,2,3,23
P14S79,P14S79_2177-02-11_7,2177-02-11 18:15:27,0.1,17,60.0,13,30.0,345.0,0.1765,10.0,8.19,18,0.8393257805396501,High,0,0,17
P14WCN,P14WCN_2136-09-23_7,2136-09-23 09:00:02,8.79,17,1.93,3,0.34,3888.0,0.2353,0.4553,4.04,9,0.12046098770449411,Low,2,2,17
P153SU,P153SU_2153-04-13_19,2153-04-13 20:23:14,0.41,18,43.37,7,16.87,377.0,0.2222,9.6386,8.53,20,0.9122758331806832,High,1,2,18
P15BR1,P15BR1_2149-10-17_7,2149-10-17 07:49:59,5.65,18,3.19,6,1.06,503.0,0.4444,1.4163,6.22,7,0.11017525171206759,Low,5,2,18
P15E36,P15E36_2186-09-15_19,2186-09-15 19:16:42,10.08,53,5.26,26,2.58,195.5,0.2075,1.0912,6.94,19,0.5762754620652526,Moderate,5,6,53
P15IIC,P15IIC_2134-09-10_7,2134-09-10 08:26:31,8.06,22,2.73,15,1.86,1036.0,0.2273,0.6205,8.96,8,0.3903152037065803,Moderate,2,2,22
P15IIC,P15IIC_2134-09-18_7,2134-09-18 07:14:44,5.65,17,3.01,3,0.53,698.0,0.3529,1.0614,5.26,7,0.1108218241783975,Low,5,1,17
P15IIC,P15IIC_2148-01-06_7,2148-01-06 10:44:03,7.56,20,2.64,13,1.72,3350.5,0.6,1.5867,8.8,10,0.5505501123673541,Moderate,7,5,20
P15IIC,P15IIC_2149-06-20_19,2149-06-21 00:11:45,0.1,20,60.0,14,30.0,300.0,0.35,10.0,7.66,0,0.981817506226808,High,4,0,20
P15NJI,P15NJI_2177-09-04_7,2177-09-04 17:20:25,0.1,15,60.0,0,0.0,300.0,0.0,0.0,-0.0,17,0.6638604285071178,Moderate,0,0,15
P15NJI,P15NJI_2196-02-25_19,2196-02-25 19:47:45,10.21,24,2.35,15,1.47,369.0,0.2083,0.4897,8.13,19,0.5883424843344068,Moderate,1,4,24
P15PLY,P15PLY_2150-04-09_19,2150-04-10 04:52:35,1.66,51,30.76,17,10.25,736.5,0.3725,10.0,4.91,4,0.7816431976626139,High,3,2,51
P15S2Y,P15S2Y_2167-05-04_7,2167-05-04 07:04:59,11.39,23,2.02,17,1.49,2598.5,0.3478,0.7026,8.45,7,0.6896100152328118,High,1,6,23
P15UZ3,P15UZ3_2143-03-18_7,2143-03-18 12:09:23,0.1,15,60.0,7,30.0,300.0,0.0,0.0,6.71,12,0.7693319465351491,High,0,0,15
P15WZ8,P15WZ8_2129-05-22_7,2129-05-22 14:46:30,0.1,18,60.0,10,30.0,300.0,0.0,0.0,7.02,14,0.819429439204181,High,0,0,18
P15ZS2,P15ZS2_2176-11-25_7,2176-11-25 07:14:10,6.67,16,2.4,9,1.35,1458.0,0.625,1.4982,7.43,7,0.39794502108858737,Moderate,6,4,16
P16327,P16327_2148-09-15_7,2148-09-15 08:57:34,4.55,23,5.06,5,1.1,587.0,0.5217,2.639,6.53,8,0.11968546186053063,Low,12,0,23
P163KQ,P163KQ_2171-11-15_7,2171-11-15 14:18:08,2.92,51,17.49,26,8.92,756.0,0.0784,1.372,6.38,14,0.13074978018123115,Low,4,0,51
P163KQ,P163KQ_2179-07-24_19,2179-07-25 02:14:22,1.54,34,22.07,13,8.44,134.5,0.1471,3.2456,6.07,2,0.3777062780862131,Moderate,0,1,34
P166E0,P166E0_2135-01-24_19,2135-01-24 22:06:20,0.1,41,60.0,20,30.0,300.0,0.2439,10.0,6.31,22,0.903500961829863,High,0,0,41
P166E0,P166E0_2135-01-25_7,2135-01-25 07:19:18,9.76,23,2.36,12,1.23,133.0,0.4783,1.1268,9.3,7,0.5814702811950818,Moderate,3,8,23
P166E0,P166E0_2135-01-29_7,2135-01-29 07:18:50,10.14,23,2.27,10,0.99,162.0,0.6957,1.5772,7.95,7,0.7245282979075286,High,5,11,23
P166E0,P166E0_2135-01-30_7,2135-01-30 07:03:38,10.33,18,1.74,10,0.97,311.5,0.5556,0.9677,9.21,7,0.576969179133574,Moderate,3,7,18
P166E0,P166E0_2135-01-31_7,2135-01-31 07:12:27,8.97,18,2.01,7,0.78,92.0,0.5,1.0033,8.53,7,0.39594541809758566,Moderate,5,4,18
P166E0,P166E0_2143-09-20_7,2143-09-20 16:49:25,0.1,32,60.0,20,30.0,300.0,0.1875,10.0,7.12,16,0.9793767578005859,High,0,0,32
P16911,P16911_2120-05-14_7,2120-05-14 07:33:46,9.18,39,4.25,20,2.18,2892.5,0.1282,0.5445,6.15,7,0.10140868832400896,Low,2,1,39
P16C1V,P16C1V_2189-06-09_7,2189-06-09 13:35:08,5.3,42,7.92,17,3.21,749.0,0.1429,1.1317,6.61,13,0.10596096045696012,Low,2,2,42
P16ETC,P16ETC_2136-04-22_7,2136-04-22 18:31:59,0.4,32,60.0,18,30.0,177.0,0.125,9.8901,7.05,18,0.9847341232460756,High,2,2,32
P16ETC,P16ETC_2188-08-05_19,2188-08-06 03:59:04,1.74,29,16.62,17,9.74,282.0,0.0,0.0,6.96,3,0.12449801694797935,Low,0,0,29
P173L7,P173L7_2149-03-04_19,2149-03-04 21:01:11,2.51,27,10.75,9,3.58,1517.5,0.037,0.3983,5.33,21,0.1360840601859534,Low,0,0,27
P177QF,P177QF_2178-09-28_19,2178-09-29 01:57:27,2.0,36,18.0,8,4.0,765.0,0.1667,3.0004,4.43,1,0.14525537592910884,Low,1,0,36
P17LO0,P17LO0_2146-06-23_7,2146-06-23 08:50:17,10.0,31,3.1,13,1.3,1378.0,0.0645,0.2,8.2,8,0.5948801349418971,Moderate,1,1,31
P17N0B,P17N0B_2119-10-26_7,2119-10-26 08:00:25,8.85,21,2.37,16,1.81,258.0,0.0476,0.113,8.32,8,0.37969852742912297,Moderate,0,0,21
P17N0B,P17N0B_2134-08-08_7,2134-08-08 08:26:10,9.36,18,1.92,11,1.17,3179.0,0.2222,0.4272,8.12,8,0.3682734458221285,Moderate,2,2,18
P17N0B,P17N0B_2146-10-08_19,2146-10-09 01:55:14,3.18,40,12.57,24,7.54,2918.5,0.075,0.9429,6.98,1,0.39227102325287994,Moderate,0,2,40
P17WQO,P17WQO_2177-03-15_19,2177-03-15 23:11:12,0.1,28,60.0,13,30.0,300.0,0.1071,10.0,5.72,23,0.9017690662042571,High,0,0,28
P18EEH,P18EEH_2137-10-08_19,2137-10-08 22:43:14,0.56,34,60.0,20,30.0,473.0,0.0,0.0,6.47,22,0.6836636862814519,High,0,0,34
P18EEH,P18EEH_2148-09-10_7,2148-09-10 10:10:43,3.72,28,7.53,17,4.57,4215.0,0.0714,0.5376,7.2,10,0.10999578327843745,Low,1,1,28
P18EEH,P18EEH_2201-10-31_7,2201-10-31 13:47:20,4.15,60,14.45,45,10.83,768.0,0.0333,0.4815,7.71,13,0.11470884240487168,Low,1,1,60
P18MMN,P18MMN_2116-03-02_19,2116-03-02 23:23:47,6.77,16,2.36,10,1.48,449.5,0.375,0.886,7.93,23,0.40025371093731804,Moderate,0,6,16
P18MMN,P18MMN_2192-08-02_7,2192-08-02 10:44:49,6.6,22,3.34,16,2.43,278.5,0.4545,1.5161,9.0,10,0.11768723694348898,Low,6,4,22
P18UW4,P18UW4_2110-12-02_7,2110-12-02 10:20:38,4.28,15,3.51,7,1.64,1474.0,0.4667,1.6362,7.64,10,0.11453040289864864,Low,2,5,15
P197VN,P197VN_2123-02-19_19,2123-02-20 04:10:48,1.03,20,19.48,14,13.64,292.5,0.15,2.9221,8.35,4,0.3792373711011835,Moderate,0,1,20
P198DW,P198DW_2147-06-03_19,2147-06-04 00:05:29,5.44,22,4.05,8,1.47,1125.0,0.3182,1.2871,6.81,0,0.372847079182398,Moderate,3,0,22
P198DW,P198DW_2177-03-24_19,2177-03-24 22:07:37,6.98,31,4.44,23,3.29,255.5,0.0968,0.4295,8.71,22,0.3847308295387083,Moderate,2,1,31
P198DW,P198DW_2177-03-26_7,2177-03-26 09:02:35,0.66,17,25.94,5,7.63,216.0,0.3529,9.1564,7.32,9,0.8421017684004463,High,5,1,17
P198DW,P198DW_2192-08-01_19,2192-08-01 21:31:38,5.45,20,3.67,10,1.83,339.5,0.4,1.4666,8.35,21,0.40727320776524045,Moderate,5,3,20
